,Unnamed: 0,product,Unnamed: 0.1,productId,reviewerName,rating,reviewTime,5C,3C,actual,ani,bad,becaus,befor,best,better,bit,buy,ca,charact,come,control,did,differ,doe,easi,end,enjoy,everi,fan,feel,fun,game,gameplay,good,got,graphic,great,hard,hour,just,know,level,like,littl,long,look,lot,love,make,mani,need,new,onli,peopl,play,player,point,pretti,ps,realli,recommend,review,right,say,sinc,start,stori,thing,think,time,tri,use,veri,want,way,work,year
0,263595,163595,163595,"Sony PlayStation 3 4th generation 320GB","Ambrose F. Duckett, III",5.0,"12 22, 2012","4","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,175215,125215,125215,"Call of Duty: Modern Warfare 2","Yossarian",4.0,"11 30, 2009","2","1",3,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,1,1,0,1,1,1,5,7,2,1,0,1,1,0,0,2,0,4,5,1,1,1,0,1,2,0,0,0,2,1,3,3,0,0,1,1,0,1,0,0,0,0,1,0,0,2,3,1,0,0,3,1,0
2,165291,165291,165291,"Xbox 360 Wireless Controller","mark twain",5.0,"10 8, 2013","4","0",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,141908,121908,121908,"Golden Sun: Dark Dawn","Monika Obermeier",5.0,"11 25, 2011","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,167690,67690,67690,"Gothic and Gothic 2","E. Eskildsen",3.0,"01 5, 2007","1","1",0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,2,0,2,1,0,0,0,1,12,4,0,0,0,3,0,0,0,0,1,0,1,0,1,1,0,2,1,0,0,1,0,2,0,1,0,0,1,0,6,1,1,0,0,0,1,0,4,0,0,2,0,0,0,0
5,111351,1351,1351,"Mission: Impossible","jax",1.0,"02 3, 2003","2","1",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
6,189342,89342,89342,"Call of Duty 4: Modern Warfare",Media Lover,5.0,"01 8, 2008","0","2",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,192748,192748,192748,"Lollipop Chainsaw","Pol P",5.0,"07 28, 2012","1","1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
8,172762,142762,142762,"Killzone 3","SpontaneousUniq",5.0,"06 7, 2011","1","2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,116004,216004,216004,"Xbox LIVE","DJ",5.0,"06 13, 2013","3","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
10,230291,211291,211291,"MOGA Mobile Gaming System for Android 2.3+","Gertrude, the Innocent",2.0,"02 19, 2013","2","0",0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,2,2,1,0,1,0,0,0
11,141834,141834,141834,"Test Drive Unlimited 2","R. Guevara Galvan",5.0,"07 6, 2011","2","1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
12,276433,176433,176433,"Microsoft Xbox 360 Controller for Windows","T. Blackford",5.0,"06 6, 2012","3","0",0,2,0,0,0,0,0,0,0,0,0,1,7,3,0,2,1,1,0,0,0,3,0,1,0,0,1,0,1,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
13,109401,109401,109401,"NBA LIVE 09","SideshowBob",5.0,"01 17, 2014","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,119023,119023,119023,"Dante's Inferno","ryunokiba",5.0,"02 23, 2012","2","1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
